Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
De'Aaron Fox,SAC,UTA,W,35.73,16,30,0.533,3,4,0.75,14,19,0.737,0,3,3,9,2,0,4,3,49,36.4,2024-11-16
Jakob Poeltl,TOR,BOS,L,37.23,16,19,0.842,0,0,0.0,3,4,0.75,6,6,12,0,1,0,2,2,35,31.9,2024-11-16
Anthony Davis,LAL,NOP,W,37.23,12,20,0.6,2,4,0.5,5,7,0.714,3,11,14,1,2,1,2,3,31,26.6,2024-11-16
Dalton Knecht,LAL,NOP,W,37.25,10,17,0.588,5,10,0.5,2,2,1.0,2,5,7,2,2,0,0,1,27,25.0,2024-11-16
Daniel Gafford,DAL,SAS,W,18.22,9,10,0.9,0,0,0.0,4,4,1.0,3,4,7,1,1,3,0,2,22,24.9,2024-11-16
Giannis Antetokounmpo,MIL,CHO,L,33.48,11,22,0.5,0,1,0.0,0,1,0.0,2,13,15,12,0,2,2,2,22,22.9,2024-11-16
Brandon Ingram,NOP,LAL,L,37.63,11,23,0.478,3,5,0.6,7,9,0.778,1,3,4,8,3,1,7,3,32,22.2,2024-11-16
Jaylen Brown,BOS,TOR,W,42.95,8,16,0.5,2,7,0.286,9,10,0.9,2,4,6,7,0,1,3,5,27,21.8,2024-11-16
Lauri Markkanen,UTA,SAC,L,34.78,6,8,0.75,4,6,0.667,9,10,0.9,1,4,5,1,0,0,3,0,25,21.0,2024-11-16
RJ Barrett,TOR,BOS,L,42.48,10,27,0.37,1,3,0.333,4,9,0.444,0,10,10,15,1,1,1,4,25,20.7,2024-11-16
Taurean Prince,MIL,CHO,L,35.05,9,14,0.643,4,5,0.8,1,1,1.0,2,1,3,5,1,0,2,2,23,20.2,2024-11-16
Kyrie Irving,DAL,SAS,W,28.42,9,15,0.6,2,6,0.333,2,3,0.667,1,7,8,6,2,0,3,2,22,19.9,2024-11-16
Jayson Tatum,BOS,TOR,W,41.65,7,19,0.368,5,12,0.417,5,5,1.0,0,11,11,9,0,0,2,3,24,19.9,2024-11-16
Josh Green,CHO,MIL,W,28.57,5,8,0.625,3,4,0.75,2,2,1.0,1,4,5,5,3,0,0,2,15,19.0,2024-11-16
LaMelo Ball,CHO,MIL,W,36.33,7,20,0.35,1,7,0.143,11,11,1.0,2,7,9,6,0,0,2,4,26,18.9,2024-11-16
Moussa Diabaté,CHO,MIL,W,24.77,6,7,0.857,0,0,0.0,0,0,0.0,10,4,14,1,1,3,3,1,12,18.1,2024-11-16
Bobby Portis,MIL,CHO,L,23.9,9,15,0.6,1,2,0.5,2,5,0.4,2,5,7,3,0,0,0,1,21,17.5,2024-11-16
Miles Bridges,CHO,MIL,W,26.95,7,15,0.467,3,7,0.429,2,2,1.0,2,5,7,3,1,0,1,0,19,16.3,2024-11-16
Keyonte George,UTA,SAC,L,30.92,6,10,0.6,2,4,0.5,5,5,1.0,1,1,2,2,1,0,1,2,19,16.0,2024-11-16
John Collins,UTA,SAC,L,32.37,6,13,0.462,0,1,0.0,4,4,1.0,4,4,8,2,3,2,2,3,16,15.9,2024-11-16
Al Horford,BOS,TOR,W,31.93,6,11,0.545,5,10,0.5,1,1,1.0,2,2,4,2,1,1,2,1,18,15.4,2024-11-16
Zach Collins,SAS,DAL,L,26.25,6,13,0.462,0,5,0.0,8,8,1.0,2,4,6,0,1,3,2,5,20,15.0,2024-11-16
Chris Boucher,TOR,BOS,L,19.67,5,6,0.833,2,3,0.667,3,3,1.0,4,1,5,0,0,0,1,1,15,14.5,2024-11-16
Sandro Mamukelashvili,SAS,DAL,L,17.13,3,7,0.429,2,6,0.333,6,6,1.0,0,6,6,2,0,1,0,0,14,14.2,2024-11-16
Neemias Queta,BOS,TOR,W,33.1,6,8,0.75,0,1,0.0,0,0,0.0,4,4,8,2,0,1,0,2,12,14.1,2024-11-16
Trey Lyles,SAC,UTA,W,34.95,6,9,0.667,5,7,0.714,0,0,0.0,0,3,3,1,0,1,2,2,17,12.6,2024-11-16
Davion Mitchell,TOR,BOS,L,32.25,4,5,0.8,1,2,0.5,1,1,1.0,1,2,3,5,1,0,0,4,10,12.3,2024-11-16
LeBron James,LAL,NOP,W,37.03,8,19,0.421,2,7,0.286,3,5,0.6,4,3,7,5,1,0,6,1,21,11.9,2024-11-16
Kyle Filipowski,UTA,SAC,L,28.28,2,5,0.4,0,1,0.0,5,9,0.556,1,6,7,2,3,0,0,0,9,11.6,2024-11-16
Derrick White,BOS,TOR,W,41.23,7,20,0.35,3,12,0.25,1,2,0.5,2,3,5,4,0,2,1,1,18,11.5,2024-11-16
Jordan Clarkson,UTA,SAC,L,30.25,7,18,0.389,1,5,0.2,2,4,0.5,0,3,3,5,3,0,3,0,17,10.8,2024-11-16
Alex Len,SAC,UTA,W,12.9,4,5,0.8,0,0,0.0,0,0,0.0,4,1,5,2,0,1,0,2,8,10.5,2024-11-16
Stephon Castle,SAS,DAL,L,27.97,4,11,0.364,2,4,0.5,2,2,1.0,3,1,4,3,2,0,2,1,12,10.0,2024-11-16
Christian Koloko,LAL,NOP,W,10.77,3,4,0.75,0,1,0.0,0,0,0.0,4,2,6,1,1,1,0,1,6,9.8,2024-11-16
Jaylen Nowell,NOP,LAL,L,34.72,6,18,0.333,2,7,0.286,2,2,1.0,1,5,6,3,0,1,1,0,16,9.8,2024-11-16
Collin Sexton,UTA,SAC,L,28.92,5,12,0.417,4,7,0.571,4,6,0.667,1,1,2,2,0,0,1,6,18,9.8,2024-11-16
Gary Trent,MIL,CHO,L,17.82,4,8,0.5,2,6,0.333,0,0,0.0,0,0,0,1,3,0,0,0,10,9.7,2024-11-16
Luka Dončić,DAL,SAS,W,28.4,6,16,0.375,3,9,0.333,1,3,0.333,2,4,6,6,2,0,4,4,16,9.6,2024-11-16
Kevin Huerter,SAC,UTA,W,33.75,6,14,0.429,5,12,0.417,1,2,0.5,0,5,5,2,1,0,3,4,18,9.5,2024-11-16
Chris Paul,SAS,DAL,L,25.07,4,9,0.444,2,4,0.5,1,1,1.0,1,4,5,3,2,0,2,2,11,9.5,2024-11-16
Ochai Agbaji,TOR,BOS,L,39.32,5,13,0.385,3,8,0.375,0,0,0.0,0,6,6,3,0,1,1,1,13,9.1,2024-11-16
Javonte Green,NOP,LAL,L,30.5,2,4,0.5,1,2,0.5,2,2,1.0,2,4,6,2,0,1,1,0,7,8.7,2024-11-16
Delon Wright,MIL,CHO,L,33.17,3,10,0.3,1,7,0.143,0,2,0.0,1,2,3,6,1,3,0,1,7,8.6,2024-11-16
Yves Missi,NOP,LAL,L,28.67,3,5,0.6,0,0,0.0,2,4,0.5,4,3,7,3,2,0,3,3,8,8.5,2024-11-16
Keldon Johnson,SAS,DAL,L,20.55,3,11,0.273,0,2,0.0,2,2,1.0,1,4,5,2,4,0,0,1,8,8.4,2024-11-16
Brandon Boston,NOP,LAL,L,35.65,4,12,0.333,2,6,0.333,2,2,1.0,1,7,8,5,1,0,3,3,12,8.3,2024-11-16
Sam Hauser,BOS,TOR,W,25.4,5,12,0.417,3,10,0.3,1,1,1.0,0,0,0,1,0,1,0,2,14,8.2,2024-11-16
Pat Connaughton,MIL,CHO,L,20.9,4,8,0.5,2,4,0.5,0,0,0.0,1,6,7,2,0,0,1,2,10,8.1,2024-11-16
Andre Jackson,MIL,CHO,L,32.57,4,6,0.667,4,5,0.8,2,2,1.0,0,2,2,1,0,0,3,4,14,8.1,2024-11-16
Jeremiah Robinson-Earl,NOP,LAL,L,32.77,4,9,0.444,2,6,0.333,0,0,0.0,4,5,9,1,0,0,1,3,10,8.1,2024-11-16
Jaden Hardy,DAL,SAS,W,18.5,4,9,0.444,2,5,0.4,2,2,1.0,0,3,3,1,0,0,0,3,12,7.7,2024-11-16
Isaiah Collier,UTA,SAC,L,19.27,3,3,1.0,1,1,1.0,2,2,1.0,0,2,2,1,0,0,1,2,9,7.6,2024-11-16
Julian Champagnie,SAS,DAL,L,25.37,3,10,0.3,3,8,0.375,4,5,0.8,1,1,2,0,0,2,1,2,13,7.4,2024-11-16
Dereck Lively,DAL,SAS,W,20.5,3,6,0.5,0,0,0.0,1,2,0.5,2,2,4,2,0,4,2,1,7,7.4,2024-11-16
Tre Mann,CHO,MIL,W,21.3,5,8,0.625,1,2,0.5,0,0,0.0,1,3,4,0,0,0,1,2,11,7.2,2024-11-16
Austin Reaves,LAL,NOP,W,40.83,3,15,0.2,2,9,0.222,2,2,1.0,1,1,2,7,1,0,0,1,10,7.2,2024-11-16
Luke Kornet,BOS,TOR,W,17.23,2,3,0.667,0,0,0.0,0,0,0.0,3,3,6,3,1,0,1,2,4,7.0,2024-11-16
Jordan McLaughlin,SAC,UTA,W,21.8,2,5,0.4,2,4,0.5,0,0,0.0,0,3,3,5,1,0,1,2,6,6.9,2024-11-16
Trey Jemison,NOP,LAL,L,19.33,3,4,0.75,0,0,0.0,2,2,1.0,0,2,2,0,1,0,0,3,8,6.8,2024-11-16
Brandon Miller,CHO,MIL,W,33.62,5,17,0.294,3,11,0.273,0,0,0.0,0,4,4,3,2,0,2,1,13,6.0,2024-11-16
Isaac Jones,SAC,UTA,W,12.03,2,2,1.0,0,0,0.0,2,2,1.0,1,1,2,0,0,1,0,4,6,5.5,2024-11-16
Olivier-Maxence Prosper,DAL,SAS,W,6.9,2,4,0.5,0,1,0.0,1,1,1.0,2,3,5,0,0,0,0,0,5,5.3,2024-11-16
Gradey Dick,TOR,BOS,L,37.13,3,12,0.25,1,5,0.2,2,2,1.0,1,1,2,5,0,0,1,1,9,4.9,2024-11-16
Orlando Robinson,SAC,UTA,W,12.23,2,2,1.0,1,1,1.0,1,2,0.5,2,1,3,0,0,0,1,2,6,4.9,2024-11-16
D'Angelo Russell,LAL,NOP,W,20.87,2,5,0.4,1,3,0.333,2,2,1.0,0,1,1,5,1,0,3,3,7,4.9,2024-11-16
Jamal Cain,NOP,LAL,L,20.73,2,8,0.25,1,3,0.333,1,2,0.5,5,3,8,2,0,1,1,4,6,4.7,2024-11-16
Klay Thompson,DAL,SAS,W,18.82,4,7,0.571,1,3,0.333,0,0,0.0,0,0,0,0,0,0,1,0,9,4.7,2024-11-16
Naji Marshall,DAL,SAS,W,18.28,2,9,0.222,0,2,0.0,2,2,1.0,1,2,3,4,1,0,0,3,6,4.4,2024-11-16
Drew Eubanks,UTA,SAC,L,15.9,2,4,0.5,0,0,0.0,0,2,0.0,3,1,4,0,1,1,0,3,4,4.1,2024-11-16
Cody Martin,CHO,MIL,W,23.0,1,3,0.333,1,1,1.0,3,6,0.5,0,2,2,3,0,0,1,2,6,4.0,2024-11-16
Grant Williams,CHO,MIL,W,30.43,2,8,0.25,2,6,0.333,0,0,0.0,0,7,7,2,0,1,0,4,6,3.8,2024-11-16
Blake Wesley,SAS,DAL,L,18.48,2,5,0.4,0,2,0.0,2,2,1.0,1,0,1,1,0,0,1,0,6,3.7,2024-11-16
Jamison Battle,TOR,BOS,L,10.88,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,3,3.4,2024-11-16
Keegan Murray,SAC,UTA,W,39.0,2,6,0.333,1,4,0.25,0,0,0.0,1,5,6,2,1,0,1,5,5,3.2,2024-11-16
P.J. Washington,DAL,SAS,W,19.02,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,2,2,0,0,0,0,3.2,2024-11-16
Quentin Grimes,DAL,SAS,W,22.28,2,5,0.4,0,2,0.0,1,1,1.0,1,3,4,3,0,0,3,0,5,3.0,2024-11-16
Charles Bassey,SAS,DAL,L,21.57,0,4,0.0,0,0,0.0,0,0,0.0,2,4,6,2,1,3,1,1,0,2.9,2024-11-16
Jordan Walsh,BOS,TOR,W,7.62,1,2,0.5,1,2,0.5,0,0,0.0,1,1,2,1,0,0,0,2,3,2.9,2024-11-16
Seth Curry,CHO,MIL,W,5.48,2,3,0.667,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,2.7,2024-11-16
Jonathan Mogbo,TOR,BOS,L,16.7,1,2,0.5,0,0,0.0,1,2,0.5,2,3,5,0,0,0,0,3,3,2.7,2024-11-16
Maxi Kleber,DAL,SAS,W,12.45,1,2,0.5,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,0,2,2.6,2024-11-16
Max Christie,LAL,NOP,W,29.92,1,6,0.167,0,3,0.0,0,0,0.0,2,1,3,1,2,1,0,2,2,2.5,2024-11-16
Bruno Fernando,TOR,BOS,L,8.58,2,4,0.5,0,0,0.0,0,0,0.0,1,1,2,2,0,0,2,0,4,2.4,2024-11-16
Mason Jones,SAC,UTA,W,8.32,0,2,0.0,0,2,0.0,0,0,0.0,1,3,4,3,0,0,0,0,0,2.3,2024-11-16
Tidjane Salaün ,CHO,MIL,W,9.52,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,2,0,0,0,0,3,2.3,2024-11-16
Doug McDermott,SAC,UTA,W,18.9,2,7,0.286,2,6,0.333,0,0,0.0,0,1,1,0,1,0,0,3,6,2.0,2024-11-16
Jamal Shead,TOR,BOS,L,20.75,3,9,0.333,0,1,0.0,0,0,0.0,0,1,1,4,0,0,1,3,6,1.8,2024-11-16
Brook Lopez,MIL,CHO,L,30.43,2,7,0.286,1,5,0.2,0,0,0.0,0,3,3,1,1,1,1,4,5,1.6,2024-11-16
Harrison Barnes,SAS,DAL,L,23.67,1,6,0.167,1,4,0.25,1,2,0.5,1,2,3,2,0,0,1,0,4,1.5,2024-11-16
Tre Jones,SAS,DAL,L,19.15,1,5,0.2,1,3,0.333,0,0,0.0,0,3,3,4,0,0,1,3,3,1.4,2024-11-16
Dwight Powell,DAL,SAS,W,9.28,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,3,0,1.1,2024-11-16
Payton Pritchard,BOS,TOR,W,23.88,2,8,0.25,2,7,0.286,0,0,0.0,0,0,0,1,0,0,0,2,6,1.1,2024-11-16
Gabe Vincent,LAL,NOP,W,21.63,0,2,0.0,0,2,0.0,0,0,0.0,1,1,2,2,0,0,0,1,0,0.6,2024-11-16
A.J. Green,MIL,CHO,L,12.62,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0.2,2024-11-16
Spencer Dinwiddie,DAL,SAS,W,8.72,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-16
Svi Mykhailiuk,UTA,SAC,L,0.02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-16
Malaki Branham,SAS,DAL,L,9.28,1,6,0.167,0,2,0.0,0,0,0.0,0,2,2,2,0,0,0,1,2,-0.2,2024-11-16
Markieff Morris,DAL,SAS,W,4.7,1,5,0.2,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,-0.5,2024-11-16
Armel Traoré,LAL,NOP,W,4.47,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,2024-11-16
Sidy Cissoko,SAS,DAL,L,5.52,0,1,0.0,0,0,0.0,0,2,0.0,1,1,2,0,0,0,0,1,0,-0.9,2024-11-16
Brandon Williams,DAL,SAS,W,5.52,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,-1.1,2024-11-16
Cody Williams,UTA,SAC,L,10.88,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,3,0,-1.2,2024-11-16
Johnny Juzang,UTA,SAC,L,8.42,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-3.1,2024-11-16
Keon Ellis,SAC,UTA,W,10.38,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,2,0,-3.5,2024-11-16
Shai Gilgeous-Alexander,OKC,DAL,L,38.47,13,19,0.684,1,1,1.0,9,11,0.818,0,2,2,8,2,2,1,1,36,35.3,2024-11-17
Devin Booker,PHO,MIN,L,39.77,15,29,0.517,6,13,0.462,8,9,0.889,3,3,6,7,0,1,4,4,44,32.3,2024-11-17
P.J. Washington,DAL,OKC,W,28.33,7,13,0.538,3,4,0.75,10,10,1.0,6,11,17,2,0,1,1,0,27,29.3,2024-11-17
Julius Randle,MIN,PHO,W,33.87,11,20,0.55,5,11,0.455,8,9,0.889,1,3,4,7,1,0,3,2,35,28.7,2024-11-17
Fred VanVleet,HOU,CHI,W,27.78,10,16,0.625,3,6,0.5,5,6,0.833,1,6,7,7,2,0,1,1,28,28.4,2024-11-17
Myles Turner,IND,MIA,W,40.18,14,23,0.609,5,8,0.625,1,1,1.0,3,6,9,1,0,2,1,1,34,28.1,2024-11-17
Karl-Anthony Towns,NYK,BRK,W,29.92,10,16,0.625,1,3,0.333,5,5,1.0,4,11,15,6,1,1,1,5,26,27.8,2024-11-17
Cade Cunningham,DET,WAS,W,30.57,7,15,0.467,2,4,0.5,5,5,1.0,2,8,10,10,5,1,2,2,21,27.0,2024-11-17
James Harden,LAC,UTA,W,34.35,7,14,0.5,2,8,0.25,4,5,0.8,1,5,6,11,2,2,0,1,20,25.5,2024-11-17
Alperen Sengun,HOU,CHI,W,25.53,9,15,0.6,0,2,0.0,2,3,0.667,2,9,11,11,0,1,0,1,20,24.8,2024-11-17
Jalen Williams,OKC,DAL,L,35.15,11,17,0.647,3,6,0.5,2,2,1.0,2,3,5,5,1,1,1,5,27,24.0,2024-11-17
Jarrett Allen,CLE,CHO,W,31.38,6,7,0.857,0,0,0.0,9,10,0.9,4,11,15,0,1,1,2,0,21,23.9,2024-11-17
Darius Garland,CLE,CHO,W,30.45,7,16,0.438,2,5,0.4,9,9,1.0,0,5,5,12,0,0,2,2,25,23.7,2024-11-17
Jaden Ivey,DET,WAS,W,29.78,10,19,0.526,4,7,0.571,4,4,1.0,2,2,4,8,1,0,3,2,28,23.5,2024-11-17
Bennedict Mathurin,IND,MIA,W,37.2,6,10,0.6,1,2,0.5,8,8,1.0,2,10,12,2,2,0,1,0,21,23.2,2024-11-17
Shaedon Sharpe,POR,ATL,W,31.78,11,21,0.524,3,8,0.375,7,12,0.583,0,2,2,5,3,0,3,3,32,22.6,2024-11-17
Tyler Herro,MIA,IND,L,37.77,8,18,0.444,7,11,0.636,5,5,1.0,0,4,4,4,1,0,1,1,28,22.2,2024-11-17
Malik Beasley,DET,WAS,W,29.27,10,16,0.625,6,11,0.545,0,0,0.0,1,2,3,1,1,0,0,0,26,21.8,2024-11-17
Miles Bridges,CHO,CLE,L,26.82,7,15,0.467,4,8,0.5,1,1,1.0,1,7,8,8,2,1,0,2,19,21.6,2024-11-17
Anthony Edwards,MIN,PHO,W,38.83,9,14,0.643,3,7,0.429,3,3,1.0,0,4,4,6,1,0,2,2,24,21.4,2024-11-17
Ty Jerome,CLE,CHO,W,31.52,9,15,0.6,4,7,0.571,2,2,1.0,0,2,2,8,0,0,2,0,24,21.3,2024-11-17
Trae Young,ATL,POR,L,37.92,8,16,0.5,5,10,0.5,8,9,0.889,1,4,5,8,0,0,6,2,29,21.3,2024-11-17
Cameron Johnson,BRK,NYK,L,31.12,7,12,0.583,4,7,0.571,4,4,1.0,0,5,5,5,0,0,0,1,22,21.0,2024-11-17
Josh Hart,NYK,BRK,W,46.08,8,13,0.615,3,7,0.429,1,1,1.0,0,8,8,8,0,0,1,1,20,20.7,2024-11-17
Tyrese Haliburton,IND,MIA,W,37.67,4,13,0.308,3,8,0.375,5,5,1.0,1,2,3,13,0,2,0,2,16,19.5,2024-11-17
Jalen Johnson,ATL,POR,L,37.22,10,14,0.714,1,2,0.5,4,4,1.0,0,4,4,4,2,1,7,0,25,18.9,2024-11-17
Pascal Siakam,IND,MIA,W,35.25,9,11,0.818,2,3,0.667,3,3,1.0,0,4,4,3,1,0,2,6,23,18.8,2024-11-17
Bam Adebayo,MIA,IND,L,39.68,9,18,0.5,2,4,0.5,4,5,0.8,6,2,8,2,0,0,2,1,24,18.4,2024-11-17
Tyus Jones,PHO,MIN,L,37.17,6,12,0.5,1,2,0.5,0,0,0.0,1,4,5,11,3,0,1,1,13,18.2,2024-11-17
Amen Thompson,HOU,CHI,W,22.23,5,6,0.833,0,0,0.0,6,8,0.75,2,9,11,5,0,1,2,3,16,18.1,2024-11-17
LaMelo Ball,CHO,CLE,L,35.3,11,29,0.379,5,15,0.333,4,4,1.0,0,1,1,12,1,0,5,5,31,17.8,2024-11-17
Evan Mobley,CLE,CHO,W,34.42,9,12,0.75,2,3,0.667,3,3,1.0,1,10,11,0,0,1,4,2,23,17.8,2024-11-17
OG Anunoby,NYK,BRK,W,40.37,9,17,0.529,3,7,0.429,3,5,0.6,3,5,8,0,0,1,0,4,24,17.6,2024-11-17
Jaren Jackson,MEM,DEN,W,30.83,7,16,0.438,2,5,0.4,4,4,1.0,2,4,6,2,1,3,1,1,20,17.3,2024-11-17
Kyrie Irving,DAL,OKC,W,36.07,9,18,0.5,3,6,0.5,2,2,1.0,1,0,1,6,0,0,1,2,23,17.1,2024-11-17
Jalen Green,HOU,CHI,W,23.17,6,9,0.667,0,2,0.0,6,6,1.0,1,3,4,1,2,0,1,1,18,17.0,2024-11-17
Duncan Robinson,MIA,IND,L,31.07,6,10,0.6,5,7,0.714,3,3,1.0,1,3,4,4,0,0,2,2,20,17.0,2024-11-17
Julian Strawther,DEN,MEM,L,24.5,6,13,0.462,4,7,0.571,3,4,0.75,0,4,4,3,1,1,0,2,19,16.1,2024-11-17
Ivica Zubac,LAC,UTA,W,32.78,11,17,0.647,0,0,0.0,0,2,0.0,6,5,11,2,0,2,5,3,22,16.0,2024-11-17
Robert Williams,POR,ATL,W,24.73,6,6,1.0,0,0,0.0,2,2,1.0,3,5,8,2,1,1,3,0,14,15.9,2024-11-17
Deni Avdija,POR,ATL,W,25.28,4,8,0.5,2,4,0.5,2,2,1.0,3,5,8,4,2,1,1,1,12,15.7,2024-11-17
Grant Williams,CHO,CLE,L,35.08,5,9,0.556,2,4,0.5,3,3,1.0,3,6,9,3,1,0,1,3,15,15.5,2024-11-17
Mikal Bridges,NYK,BRK,W,44.95,9,18,0.5,3,10,0.3,0,0,0.0,2,4,6,1,1,1,1,2,21,15.2,2024-11-17
Luguentz Dort,OKC,DAL,L,35.6,5,10,0.5,4,9,0.444,4,6,0.667,2,3,5,3,0,0,1,2,18,14.8,2024-11-17
Josh Green,CHO,CLE,L,28.9,6,8,0.75,2,2,1.0,1,2,0.5,2,2,4,2,1,0,0,4,15,14.2,2024-11-17
Jordan Poole,WAS,DET,L,26.82,8,16,0.5,3,5,0.6,3,3,1.0,0,1,1,5,0,0,2,4,22,14.2,2024-11-17
Dalano Banton,POR,ATL,W,25.87,9,19,0.474,4,8,0.5,1,1,1.0,1,3,4,4,1,1,5,1,23,14.0,2024-11-17
Zach LaVine,CHI,HOU,L,26.33,4,9,0.444,1,3,0.333,6,6,1.0,0,5,5,1,2,1,0,3,15,14.0,2024-11-17
Jordan Clarkson,UTA,LAC,L,29.55,7,17,0.412,2,11,0.182,5,5,1.0,1,3,4,2,1,0,2,0,21,13.9,2024-11-17
Kyle Kuzma,WAS,DET,L,28.97,10,14,0.714,1,2,0.5,1,3,0.333,2,4,6,1,0,0,4,2,22,13.9,2024-11-17
Kris Dunn,LAC,UTA,W,25.2,4,8,0.5,3,6,0.5,0,0,0.0,2,2,4,4,2,0,0,0,11,13.8,2024-11-17
Lauri Markkanen,UTA,LAC,L,38.67,6,12,0.5,4,8,0.5,2,4,0.5,2,8,10,1,1,0,2,3,18,13.5,2024-11-17
Kevin Porter,LAC,UTA,W,27.42,6,9,0.667,0,2,0.0,0,0,0.0,1,3,4,6,1,0,1,1,12,13.5,2024-11-17
Dorian Finney-Smith,BRK,NYK,L,28.35,6,11,0.545,4,7,0.571,0,0,0.0,3,1,4,2,0,1,1,2,16,13.4,2024-11-17
Grayson Allen,PHO,MIN,L,24.15,6,10,0.6,4,7,0.571,2,2,1.0,1,4,5,1,0,0,2,2,18,13.2,2024-11-17
John Collins,UTA,LAC,L,30.88,5,6,0.833,0,0,0.0,3,3,1.0,0,8,8,2,2,0,3,1,13,13.2,2024-11-17
Bilal Coulibaly,WAS,DET,L,26.08,6,9,0.667,1,2,0.5,2,3,0.667,1,3,4,0,3,0,2,2,15,12.5,2024-11-17
Dillon Jones,OKC,DAL,L,15.95,5,6,0.833,2,3,0.667,0,0,0.0,1,1,2,3,0,0,0,1,12,12.5,2024-11-17
Jalen Wilson,BRK,NYK,L,25.32,5,7,0.714,3,5,0.6,2,3,0.667,2,4,6,0,0,0,1,2,15,12.5,2024-11-17
Dario Šarić,DEN,MEM,L,32.35,4,10,0.4,2,5,0.4,0,0,0.0,2,8,10,3,2,0,0,1,10,12.1,2024-11-17
Onyeka Okongwu,ATL,POR,L,28.1,4,9,0.444,0,1,0.0,3,4,0.75,2,9,11,3,2,2,2,4,11,11.9,2024-11-17
Tobias Harris,DET,WAS,W,28.38,4,11,0.364,1,3,0.333,3,4,0.75,2,7,9,3,0,1,0,0,12,11.8,2024-11-17
Cam Thomas,BRK,NYK,L,33.1,4,11,0.364,1,4,0.25,7,10,0.7,1,4,5,3,1,0,2,0,16,11.7,2024-11-17
Dillon Brooks,HOU,CHI,W,27.83,7,13,0.538,1,3,0.333,0,1,0.0,0,2,2,3,2,0,1,1,15,11.6,2024-11-17
Rudy Gobert,MIN,PHO,W,36.8,4,8,0.5,0,0,0.0,3,4,0.75,4,6,10,2,0,4,3,2,11,11.6,2024-11-17
Desmond Bane,MEM,DEN,W,28.52,5,12,0.417,1,7,0.143,0,0,0.0,1,10,11,7,0,1,2,1,11,11.5,2024-11-17
Nikola Jović,MIA,IND,L,31.03,3,9,0.333,2,6,0.333,6,6,1.0,0,3,3,2,1,0,0,2,14,11.4,2024-11-17
Norman Powell,LAC,UTA,W,34.83,6,17,0.353,4,11,0.364,3,4,0.75,0,2,2,3,1,0,1,1,19,11.4,2024-11-17
Christian Braun,DEN,MEM,L,34.38,5,11,0.455,0,2,0.0,3,4,0.75,1,3,4,4,1,0,1,0,13,11.3,2024-11-17
Jaden McDaniels,MIN,PHO,W,26.48,4,7,0.571,2,3,0.667,1,4,0.25,1,2,3,2,3,1,0,4,11,11.3,2024-11-17
Kyle Filipowski,UTA,LAC,L,23.85,5,10,0.5,0,4,0.0,3,4,0.75,1,1,2,4,0,0,0,1,13,11.0,2024-11-17
Jonas Valančiūnas,WAS,DET,L,20.1,4,11,0.364,1,1,1.0,4,4,1.0,1,9,10,2,0,1,1,1,13,11.0,2024-11-17
Donte DiVincenzo,MIN,PHO,W,25.72,5,11,0.455,5,10,0.5,0,0,0.0,0,1,1,3,0,0,0,2,15,10.9,2024-11-17
Reed Sheppard,HOU,CHI,W,19.1,4,7,0.571,4,5,0.8,0,0,0.0,0,2,2,1,0,3,1,1,12,10.7,2024-11-17
Carlton Carrington,WAS,DET,L,25.2,4,7,0.571,3,6,0.5,0,0,0.0,0,3,3,3,2,0,2,1,11,10.3,2024-11-17
Jalen Duren,DET,WAS,W,18.2,5,8,0.625,0,0,0.0,1,4,0.25,4,6,10,1,1,0,1,3,11,10.3,2024-11-17
Clint Capela,ATL,POR,L,19.92,4,9,0.444,0,0,0.0,0,2,0.0,5,3,8,4,1,1,0,3,8,10.2,2024-11-17
Naji Marshall,DAL,OKC,W,26.97,4,6,0.667,0,1,0.0,5,5,1.0,2,2,4,3,0,0,4,1,13,10.1,2024-11-17
Jake LaRavia,MEM,DEN,W,20.07,2,3,0.667,1,1,1.0,2,2,1.0,0,2,2,4,1,1,1,0,7,9.8,2024-11-17
Donovan Clingan,POR,ATL,W,21.75,3,4,0.75,0,0,0.0,0,0,0.0,5,3,8,0,1,3,1,3,6,9.7,2024-11-17
